Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Crejo.Fun,2020,Bangalore,Education,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3174000.0,Pre-series A,2021
Bambinos,2020,Bangalore,Education,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",267000.0,Pre-series A,2021
Spardha,2016,Pune,Education,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,600000.0,Pre-series A,2021
Fable Fintech,2015,Mumbai,Finance,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Naushad Contractor,Paytm,21000000.0,Series A,2021
Fyllo,2019,Bangalore,Agriculture,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",3174000.0,Pre-series A,2021
Swiflearn,2019,Gurgaon,Education,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",3174000.0,Pre-series A,2021
QuickSell,2017,Mumbai,Commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2743000.0,Pre-series A,2021
Truemeds,2019,Mumbai,Health,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,3174000.0,Series A,2021
F5,2018,New Delhi,Food & Beverages,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",3174000.0,Pre-series A,2021
IntelleWings,2019,Panchkula,itstartup,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,Unknown,27700000.0,Pre-series A,2021
Refyne,2020,Bangalore,Finance,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",3174000.0,Series A,2021
Greenjoules,2018,Pune,Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,3174000.0,Series A,2021
MentorKart,2018,New Delhi,Business Intelligence,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",3174000.0,Pre-series A,2021
Leverage Edu,2017,New Delhi,Education,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",3174000.0,Debt,2021
Kale Logistics,2010,Thane,Transport,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,3174000.0,Series A,2021
Pee Safe,2013,Gurgaon,Health,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",2000000.0,Pre-series A,2021
SimpliContract,2020,Bangalore,Technology,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,3174000.0,Pre-series A,2021
Dropshop,2019,Bangalore,Transport,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,3174000.0,Pre-series A,2021
Jumbotail,2015,Bangalore,Commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,3937000.0,Debt,2021
Convosight,2019,New Delhi,Technology,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,3174000.0,Series A,2021
Junio,2020,New Delhi,Finance,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",3174000.0,Pre-series A,2021
Wherehouse.io,2020,New Delhi,Transport,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,3174000.0,Pre-series A,2021
Flexmoney,2015,Mumbai,Finance,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,Pravega Ventures,150000.0,Series A,2021
Fampay,2019,Bangalore,Finance,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",11370000.0,Series A,2021
Apna,2019,Bangalore,Business Intelligence,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",3174000.0,Series B,2021
XYXX Apparels,2017,Surat,Beauty & Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,Unknown,3174000.0,Series A,2021
BrowserStack,2011,Mumbai,Technology,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,3174000.0,Series B,2021
Vital,2018,New Delhi,Technology,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,3174000.0,Pre-series A,2021
Imagimake,2011,Mumbai,Business Intelligence,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",264000.0,Pre-series A,2021
MSMEx,2019,Andheri,Education,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",3174000.0,Pre-series A,2021
RenewBuy,2015,Gurgaon,Technology,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",3174000.0,Series C,2021
saarthi.ai,2017,Bangalore,aistartup,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,6000000.0,Pre-series A,2021
Kutumb,2020,Bangalore,Government,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",3300000.0,Series A,2021
Superplum,2019,Noida,Agriculture,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,3174000.0,Pre-series A,2021
Upside AI,2017,Mumbai,Finance,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,1750000.0,Pre-series A,2021
Skillmatics,2016,Mumbai,Education,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,Sequoia Capital India,3174000.0,Series A,2021
Bimaplan,2020,Bangalore,Technology,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik",3000000.0,Pre-series A,2021
Bueno Finance,2019,Gurgaon,Finance,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",5967000.0,Pre-series A,2021
CityMall,2019,Gurgaon,Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",3174000.0,Series B,2021
The Switch Fix,2019,Gurgaon,Health,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9unicorns",3174000.0,Pre-series A,2021
Anvidha Technologies,2020,Haryana,Technology,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,Unknown,3174000.0,Pre-series A,2021
DigiSparsh,2020,Mumbai,Finance,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,3174000.0,Pre-series A,2021
CoffeeMug.ai,2020,New Delhi,Business Intelligence,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",500000.0,Pre-series A,2021
Pathfndr.io,2015,Bangalore,Technology,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Varun Gupta,Arali Ventures,5000000.0,Pre-series A,2021
Kazam,2020,Bangalore,evstartup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,27000000.0,Pre-series A,2021
MYRE Capital,2020,Mumbai,Commerce,Democratising Real Estate Ownership,Own rent yielding commercial properties,Aryaman Vir,3174000.0,Unknown,2021
BimaPe,2020,Mumbai,Finance,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,"iSeed, Titan Capital",3174000.0,Pre-series A,2021
Saarthi Pedagogy,2015,Ahmedabad,Education,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Pedagogy,Sushil Agarwal,3174000.0,Unknown,2021
Synapsica,2017,New Delhi,Health,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners",3174000.0,Series A,2021
Kwik Foods,2020,Gurgaon,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,1000000.0,Pre-series A,2021
GoMechanic,2016,Gurgaon,Transport,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",Kushal Karwa,"Tiger Global, Sequoia",3174000.0,Series C,2021
Green Cure,2015,New Delhi,Health,World's first company to combine German Engineering with Indian Ayurveda in health products,Sanchit Garg,Venture Catalysts,3174000.0,Pre-series A,2021
Classplus,2017,Noida,Education,Classplus was born out of an urge to redefine classroom engagement in this country.,"Mukul Rustagi, Bhaswat Agarwal",Tiger Global,3174000.0,Series C,2021
WINDO,2020,Hyderabad,Commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,"Silus Reddy Chintapalli, Rakesh Vaddadi",Unicorn India Ventures,3174000.0,Pre-series A,2021
ApnaKlub,2020,Bangalore,Commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Shruti, Manish Kumar","Blume Ventures, Whiteboard Capital",3174000.0,Pre-series A,2021
GoBolt,2015,Gurgaon,Transport,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Naitik Baghla, Parag Aggarwal, Sumit Sharma","Paragon Partners, Aavishkaar Capital",3174000.0,Series B,2021
Loco,2018,Bangalore,Manufacturing,Loco is India's leading live game streaming app.,"Anirudh Pandita, Ashwin Suresh","Krafton, Lumikai",60000000.0,Pre-series A,2021
Auric,2017,New Delhi,Health,Contemporary Beauty & Wellness Brand Based on Ayurveda,Deepak Agarwal,Venture Catalysts,11363000.0,Pre-series A,2021
Humit,2020,Bangalore,Media & Entertainment,Humit is a social networking app for music sharing and discovery.,"Rohit Ganapathy, Prithvi Sankar, Ishaan Negi",Antler India,329000.0,Pre-series A,2021
Airblack,2019,Gurgaon,itstartup,Airblack is on a mission to help people convert their passion to a livelihood.,"Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital",3174000.0,Series A,2021
Intervue,2021,New Delhi,Technology,World's fastest collaborative environment to take tech interviews.,"Rahul Arora, Pushpender Singh Rautela","Titan Capital, Kunal Shah",3174000.0,Pre-series A,2021
Nestroots,2016,Gurgaon,Beauty & Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",Chhavi Singh,We Founder Circle,3174000.0,Pre-series A,2021
TABLT,2018,Kolkata,Health,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Anish Agarwal,Siti Cable,3174000.0,Series A,2021
Hesa,2020,Hyderabad,itstartup,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Vamsi Udayagiri, Hema Nandiraju","Venture Catalysts, 9unicorns",5900000.0,Pre-series A,2021
Powerhouse91,2020,Gurgaon,consumergoods,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.","Shashwat Diesh, Aqib Mohammed",Crossbeam Venture Partners,44000000.0,Pre-series A,2021
Chargeup,2019,New Delhi,Energy,"""Battery as a Service"" for 3 wheeler & 2 wheelers","Varun Goenka, Akshay Kashyap",Mapmyindia,3174000.0,Pre-series A,2021
Treebo Hotels,2015,Bangalore,Hospitality,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,"Sidharth Gupta, Kadam Jeet Jain, Rahul Chaudhary",Accor,3174000.0,Series D,2021
Supertails,2021,Bangalore,Health,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Vineet Khanna, Varun Sadana, Aman Tekriwal","Saama Capital, DSG Consumer Partners",3174000.0,Pre-series A,2021
SkilloVilla,2020,Bangalore,Education,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol",Titan Capital,3174000.0,Pre-series A,2021
Cancer Clinics,2014,Telangana,Health,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.","Sonali Srungaram, Sasi Sunkara",Axilor,3174000.0,Pre-series A,2021
Velocity,2020,Bangalore,Finance,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,"Abhiroop Medhekar, Atul Khichariya, Saurav Swaroop",Valar Ventures,3174000.0,Pre-series A,2021
Happy Jars,2016,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,2000000.0,Pre-series A,2021
ExtraaEdge,2015,Pune,Technology,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network",3174000.0,Pre-series A,2021
Zotalabs,2019,Pune,Technology,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,"Nausherwan Shah, Wasim Khan",Alfa Ventures,5100000.0,Pre-series A,2021
Voiro,2014,Bangalore,Business Intelligence,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,"Anand Gopal, Kavita Shenoy",1Crowd,3174000.0,Pre-series A,2021
Rupifi,2019,Bangalore,Finance,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Anubhav Jain,Quona Capital,1700000.0,Pre-series A,2021
Moneyboxx,1994,Mumbai,Finance,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,Deepak Aggarwal,"Ashv Finance, BlackSoil Capital",3174000.0,Debt,2021
CityMall,2019,Gurgaon,Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Divij Goyal","WaterBridge Ventures, SAIF Partners",3174000.0,Series A,2021
Janani,2020,Bangalore,Health,Janani.ai is a fertility care provider.,Nilay Mehrotra,"Sweta Rau, 9Unicorns Accelerator Fund",3174000.0,Pre-series A,2021
ReshaMandi,2020,Bangalore,Agriculture,India's 1st award winning technology led digital ecosystem for Silk,Utkarsh Apoorva,"Omnivore, Strive Ventures",9400000.0,Pre-series A,2021
DotPe,2019,Gurgaon,Finance,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","PayU, Google",3174000.0,Series A,2021
Settlrs,2018,Bangalore,Real Estate,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.","Gaurav Ranebennur, Nishanth Janadri",MaGEHold Pte. Ltd.,3174000.0,Pre-series A,2021
BYJU'S,2011,Bangalore,Education,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","BlackRock, Owl Ventures",3174000.0,Series F,2021
HealthPlix,2014,Bangalore,Health,HealthPlix is a healthtech startup,"Raghuraj Sunder Raju, Sandeep Gudibanda","JSW Ventures, Kalaari Capital",8200000.0,Series B,2021
Masai School,2019,Bangalore,Education,Masai School is a job-oriented software training services.,Prateek Shukla,"Unitus Ventures, Omidyar Network India",3174000.0,Series A,2021
Stelis Biopharma,2007,Bangalore,Health,Stelis Biopharma is a vertically integrated biopharmaceutical company.,Pudhucode Radhakrishnan Kannan,"RouteOne, Mankekar Family Office",3174000.0,Series B,2021
NeoDove,2020,Jaipur,aistartup,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",Aprit Khandelwal,India Quotient,3174000.0,Pre-series A,2021
KreditBee,2018,Bangalore,Finance,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Alpine Capital, PremjiInvest",3174000.0,Pre-series A,2021
True Balance,2014,Gurgaon,Finance,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","Bon Angels Venture Partners, Daesung Private Equity",3174000.0,Debt,2021
Muvin,2020,Bangalore,Finance,Youth Neobank enabling financial solutions for the teenagers and young people,Mukund V Rao,Unknown,4000000.0,Pre-series A,2021
FloBiz,2019,Bangalore,Technology,India’s first neobusiness platform,Rahul Raj,Elevation Capital,3174000.0,Series A,2021
Jeevam Health,2020,New Delhi,Health,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,"Kamran alam, Piyush vishwakarma",Y Combinator,20000000.0,Pre-series A,2021
OZiva,2016,Mumbai,Health,OZiva is a plant-based Clean Nutrition Brand.,"Aarti, Mihir Gadani","F-Prime Capital, Eight Roads Ventures India",3174000.0,Series B,2021
Blive,2004,Panaji,Hospitality,B: Live is an electric vehicle tourism startup.,"Samarth Kholkar, Sandeep Mukherjee","Mumbai Angels, DNA Entertainment Networks",786000.0,Pre-series A,2021
Euler Motors,2018,New Delhi,Transport,Electric Light Commercial Vehicle,Saurav Kumar,"ADB Ventures, Jetty Ventures",6800000.0,Series A,2021
Pixxel,2019,Bangalore,Technology,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Awais Ahmed, Kshitij Khandelwal","Techstars, Ryan Johnson",3174000.0,Pre-series A,2021
Prescinto,2016,Gujarat,Energy,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,Puneet Jaggi,"Venture Catalysts, 9Unicorns Accelerator Fund",3174000.0,Pre-series A,2021
MyGlamm,2015,Mumbai,Beauty & Fashion,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Darpan Sanghvi,Bessemer Venture Partners,248000.0,Series C,2021
Chirrup,2020,Bangalore,Manufacturing,Video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.",3174000.0,Pre-series A,2021
Juicy Chemistry,2014,Coimbatore,Health,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher.",Akya Ventures,3174000.0,Series A,2021
Indifi,2015,Gurgaon,Finance,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Elevar Equity, Accel India",3174000.0,Debt,2021
Firmway,2016,Mumbai,Finance,Firmway is a platform that digitizes balance confirmation and reconciliation process.,"Prashant Gupta, Vivek Chandan",Unknown,3174000.0,Pre-series A,2021
Say Cheese,2020,Mumbai,Technology,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",Rajpreet Kaur,Unknown,3174000.0,Pre-series A,2021
Bimaplan,2020,Mumbai,Finance,Affordable insurance for the next billion Indians,Vikul Goyal,"Titan Capital, Y Combinator",13000000.0,Pre-series A,2021
YAP,2014,Chennai,Finance,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",3174000.0,Series B,2021
Leap Finance,2019,Bangalore,Finance,Leap Finance is a fintech startup for Indian students pursuing international higher education,Vaibhav Singh,Jungle Ventures,2000000.0,Series B,2021
4baseCare,2018,Bangalore,Health,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Hitesh Goswami, Kshitij Rishi","Mount Judi Ventures, growX Ventures, Season Two Ventures",3174000.0,Pre-series A,2021
Ezstays,2019,New Delhi,Education,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.","Vaibhav Khanna, Abhishek Kumar, Kumar Gaurav",Richard Rekhy,3174000.0,Pre-series A,2021
Stylework,2017,Gurgaon,Business Intelligence,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Sparsh Khandelwal,Inflection Point Ventures,3174000.0,Pre-series A,2021
Riskcovry,2018,Bangalore,Technology,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund",3174000.0,Series A,2021
Quizizz,2015,Bangalore,Education,Quizizz is a Education based startup,"Ankit Gupta, Deepak Joy Cheenath","Eight Roads Ventures India, Nexus Venture Partners",24500000.0,Series A,2021
Turtlemint,2015,Mumbai,Technology,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Jungle Ventures,3800000.0,Series D,2021
Captain Fresh,2019,Bangalore,supplychainplatform,Captain Fresh is a freshwater fish and seafood supply chain platform.,Utham Gowda,"Matrix Partners India, Ankur Capital",18370000.0,Pre-series A,2021
Northern Arc,2008,Chennai,Finance,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"U.S. International Development Finance Corp, Asian Development Bank",3174000.0,Debt,2021
Qoohoo,2020,Bangalore,socialplatform,A platform for creators to build immersive connections with their fans and followers and monetize them.,"Vimal Singh Rathore, Aseem Gupta",Angel investors,4800000.0,Pre-series A,2021
The ePlane,2016,Chennai,Technology,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Pranjal Mehta, Satyanarayanan Chakravarthy","Speciale Invest, Farid Ahsan",12500000.0,Pre-series A,2021
Questt,2020,Gurgaon,Education,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Akhil Singh, Mohsin, Rohit Pande","Chiratae Ventures, AET Fund",3174000.0,Pre-series A,2021
DealShare,2018,Jaipur,Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Omidyar Network, Falcon Edge Capital",3174000.0,Debt,2021
Euler Motors,2018,New Delhi,Transport,Electric Light Commercial Vehicle,Saurav Kumar,"Jetty Ventures, Srinivas Anumolu",7500000.0,Series A,2021
KoineArth,2018,Bangalore,Finance,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",Praphul Chandra,YourNest,43000000.0,Pre-series A,2021
Northern Arc,2008,Chennai,Finance,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,Kshama Fernandes,"Asian Development Bank, U.S. International Development Finance Corp",3500000.0,Debt,2021
ParkSmart,2018,New Delhi,Transport,ParkSmart is a parking management application.,"Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma","Shireen Rangaswamy, Dilesh Gathani",3174000.0,Pre-series A,2021
Virohan,2018,Gurgaon,Education,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Rebright Partners, Wadhwani Foundation",3174000.0,Series A,2021
BankSathi,2019,New Delhi,Finance,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.",Jitendra Dhaka,"Dinesh Godara, Aditya Talwar",3174000.0,Pre-series A,2021
Spark Studio,2020,Bangalore,Education,Online courses to build creativity and confidence in children through extra-curricular learning,Anushree Goenka,Better Capital,4000000.0,Pre-series A,2021
BlissClub,2020,Bangalore,Beauty & Fashion,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",Minu Margeret,Elevation Capital,55000000.0,Pre-series A,2021
BricSpaces,2018,Bangalore,realestate,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Madhusudhan,Angel investors,3174000.0,Pre-series A,2021
ANSR,2008,Bangalore,Business Intelligence,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.",Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund",3174000.0,Series B,2021
Keito,2016,Pune,aicompany,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises",Amal P S,"Rajesh Agarwal, Nandkishore Mundada",3174000.0,Pre-series A,2021
Reccy Adventures,2019,Gurgaon,Sports,Reccy Adventures is an adventure sports startup.,"Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal","Kallol Banerjee, Jaydeep Barman",3174000.0,Pre-series A,2021
Magenta EV,2017,Mumbai,Energy,Magenta is in the business of Enabling electric mobility & Making electricity clean,"Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture",3174000.0,Series A,2021
Karbon Card,2019,Bangalore,Finance,Karbon Card is a financial platform for Indian entrepreneurs.,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar","MyAsia VC, Orios Venture Partners",115000000.0,Pre-series A,2021
Wysa,2015,Bangalore,aicompany,Wysa is an AI conversational agent that has been shown to help improve mental health,"Jo Aggarwal, Ramakant Vempati","W Health Ventures, Pi Ventures",3174000.0,Series A,2021
Agnikul,2017,Chennai,Technology,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Artha India Ventures, Sriram Krishnan",200000.0,Series A,2021
LegalPay,2019,New Delhi,Finance,A trusted financial partner for advocates and corporate.,Kundan Shahi,9Unicorns,3174000.0,Pre-series A,2021
Glamplus,2020,Bangalore,Technology,India's #1 SaaS based Salon experience Software,Divyanshu Singh,Inflection Point Ventures,400000.0,Pre-series A,2021
Tekie,2017,Gurgaon,Education,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","Anand Verma, Naman Mukund","GSV, Multiply Ventures",3174000.0,Pre-series A,2021
Avalon Labs,2017,Bangalore,Finance,"Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.",Varun Mayya,"Tanglin Ventures, Better Capital, Whiteboard Capital",3174000.0,Pre-series A,2021
Betterhalf.ai,2016,Bangalore,LifeStyle,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,"Rahul Namdev, Pawan Gupta","Y Combinator, Rehan A Khan",3174000.0,Pre-series A,2021
Koo,2020,Bangalore,Media & Entertainment,Koo App operates as a microblogging app.,"Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",3174000.0,Series B,2021
