Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Plum,2019,Bangalore,Health,Provides health benefits to corporates,"Abhishek Poddar, Saurabh Arora",Incubate Fund,927000.0,Pre-series A,2020
IncNut Digital,2011,Hyderabad,Commerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",RPSG Ventures,4000000.0,Series A,2020
GigIndia,2017,Pune,Technology,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,"Sahil Sharma, Aditya Shirole",Incubate Fund India,971000.0,Pre-series A,2020
Piggy Ride,2016,Bangalore,Technology,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",Manish Tewari,"JAFCO Asia, Artha Venture Fund",1862000.0,Pre-series A,2020
Cuemath,2013,Bangalore,Education,It helps students to learn math online,Manan Khurma,Trifecta Capital,2888000.0,Series B,2020
Blue Sky Analytics,2018,Gurgaon,Technology,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Pre-series A,2020
Decentro,2020,Bangalore,Finance,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,15500000.0,Series A,2020
Zolostays,2015,Bangalore,LifeStyle,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Series C,2020
Frontier Markets,2011,Jaipur,Commerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Pre-series A,2020
Aye Finance,2014,Gurgaon,Finance,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,16753000.0,Series E,2020
Forbidden Foods,2016,New Delhi,Food & Beverages,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000.0,Pre-series A,2020
Gobbly,2016,Gurgaon,Commerce,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,500000.0,Pre-series A,2020
Mitron,2016,Bangalore,Media & Entertainment,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",267000.0,Pre-series A,2020
Inspektlabs,2019,New Delhi,Technology,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",600000.0,Pre-series A,2020
Big Bang Boom Solutions,2018,Chennai,Government,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,1000000.0,Series A,2020
Flinto,2013,Chennai,Education,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000.0,Pre-series A,2020
